topic,issue_number,title,url,state,labels,assignees,created_at,updated_at,last_seen_at,archived_at,archive_reason,linked_pr_status,difficulty,component,learning_value,fixability,my_status,notes,next_action
attention_cache_kernels,765,[RFC]: Add SpargeAttn Sparse Attention Backend,https://github.com/vllm-project/vllm-omni/issues/765,open,,,2026-01-13T07:59:10Z,2026-01-26T07:33:31Z,2026-08-22T15:40:41+00:00,,,linked_partial,,,,,new,,
attention_cache_kernels,5493,[RFC]: Iterative Activation Processing,https://github.com/vllm-project/vllm-omni/issues/5493,open,RFC,,2026-07-28T06:52:28Z,2026-07-28T06:52:28Z,2026-08-22T15:40:41+00:00,,,linked_partial,,,,,new,,
ci_testing_regressions,4661,[RFC]: Third-party Sparse Attention Backends Support,https://github.com/vllm-project/vllm-omni/issues/4661,open,"diffusion, core, RFC",,2026-06-23T14:08:42Z,2026-06-26T13:00:22Z,2026-08-22T15:40:41+00:00,,,unlinked,,,,,new,,
ci_testing_regressions,5212,[RFC]: Engine-managed state for cache-aware streaming ASR,https://github.com/vllm-project/vllm-omni/issues/5212,open,"tts, RFC",,2026-07-20T04:04:51Z,2026-08-14T13:03:17Z,2026-08-22T15:40:41+00:00,,,unlinked,,,,,new,,
ci_testing_regressions,5407,[RFC]: Publish and aggregate test coverage reports from CI,https://github.com/vllm-project/vllm-omni/issues/5407,open,"CI/CD, RFC",,2026-07-25T13:56:04Z,2026-07-29T05:28:59Z,2026-08-22T15:40:41+00:00,,,unlinked,,,,,new,,
ci_testing_regressions,5450,[RFC]: Worker/ModelRunner correctness fixes (ModelRunner Refactor 2/N),https://github.com/vllm-project/vllm-omni/issues/5450,open,RFC,,2026-07-27T09:00:24Z,2026-07-27T09:00:24Z,2026-08-22T15:40:41+00:00,,,unlinked,,,,,new,,
ci_testing_regressions,5992,"[RFC]: Static quality gates — pre-commit hardening, CodeQL, and SonarQube Cloud",https://github.com/vllm-project/vllm-omni/issues/5992,open,"CI/CD, RFC",,2026-08-10T11:17:43Z,2026-08-11T12:31:54Z,2026-08-22T15:40:41+00:00,,,unlinked,,,,,new,,
ci_testing_regressions,5996,[RFC]: Trim low-value models from CI based on HF / discussion / freshness scoring,https://github.com/vllm-project/vllm-omni/issues/5996,open,RFC,,2026-08-10T12:10:04Z,2026-08-19T04:24:12Z,2026-08-22T15:40:41+00:00,,,unlinked,,,,,new,,
ci_testing_regressions,6028,[RFC]: Moving MiniCPM-o 4.5 and PersonaPlex out of Experimental,https://github.com/vllm-project/vllm-omni/issues/6028,open,"high priority, RFC",,2026-08-11T03:28:43Z,2026-08-17T02:37:04Z,2026-08-22T15:40:41+00:00,,,linked_partial,,,,,new,,
ci_testing_regressions,6245,[Bug]: Nightly / CI failed - tests/diffusion/quantization/test_quantization_quality.py::test_quantization_quality[fp8_ltx2] - AssertionError: LPIPS 0.1648 exceeds threshold 0.1 for fp8 on Lightricks/LTX-2,https://github.com/vllm-project/vllm-omni/issues/6245,open,"bug, ci-failure, low priority",,2026-08-17T01:25:23Z,2026-08-21T03:06:59Z,2026-08-22T15:40:41+00:00,,,unlinked,,,,,new,,
